NIV_EDUC_EUN,NIV_EDUC_MED,NIV_EDUC_TEC,NIV_EDUC_UNV,CIUDAD_ANGOL,CIUDAD_ANTOFAGASTA,CIUDAD_ARICA,CIUDAD_AYSEN,CIUDAD_CALAMA,CIUDAD_CALBUCO,CIUDAD_CALDERA,CIUDAD_CASTRO,CIUDAD_CHILLAN,CIUDAD_CHUQUICAMATA,CIUDAD_CONCEPCION,CIUDAD_COPIAPO,CIUDAD_COQUIMBO,CIUDAD_CORONEL,CIUDAD_COYHAIQUE,CIUDAD_CURICO,CIUDAD_EL SALVADOR,CIUDAD_HIJUELAS,CIUDAD_HUASCO,CIUDAD_IQUIQUE,CIUDAD_LA CALERA,CIUDAD_LA CRUZ,CIUDAD_LA SERENA,CIUDAD_LINARES,CIUDAD_LLANQUIHUE,CIUDAD_LLO-LLEO,CIUDAD_LONCOCHE,CIUDAD_LOS ANDES,CIUDAD_LOS ANGELES,CIUDAD_LOS LAGOS,CIUDAD_LOS VILOS,CIUDAD_MACHALI,CIUDAD_MELIPILLA,CIUDAD_OSORNO,CIUDAD_OVALLE,CIUDAD_PALENA,CIUDAD_PANGUIPULLI,CIUDAD_PARRAL,CIUDAD_PENCO,CIUDAD_PETORCA,CIUDAD_PUERTO MONTT,CIUDAD_PUERTO OCTAY,CIUDAD_PUERTO VARAS,CIUDAD_PUNTA ARENAS,CIUDAD_QUILLOTA,CIUDAD_QUILPUE,CIUDAD_RANCAGUA,CIUDAD_RENGO,CIUDAD_SAN ANTONIO,CIUDAD_SAN CLEMENTE,CIUDAD_SAN ESTEBAN,CIUDAD_SAN FELIPE,CIUDAD_SAN FERNANDO,CIUDAD_SAN PEDRO,CIUDAD_SANTA CRUZ,CIUDAD_SANTIAGO,CIUDAD_STO DOMINGO,CIUDAD_TALAGANTE,CIUDAD_TALCA,CIUDAD_TALCAHUANO,CIUDAD_TEMUCO,CIUDAD_TOCOPILLA,CIUDAD_VALDIVIA,CIUDAD_VALLENAR,CIUDAD_VALPARAISO,CIUDAD_VILLARRICA,CIUDAD_VINA DEL MAR,CIUDAD_VLLA ALEMANA,EDAD,M_MOROSO,D_Julio_log,D_Junio_log,Promedio_Deuda,Ratio_Morosidad,Renta_Edad,Endeudamiento_Total,Deuda_Renta,Variabilidad_Deuda,FUGA
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45,1.0,0.0,9.92314311019457,30200.285714285714,0.3333333333333333,10170.955555555556,211402,0.4618860240379468,71129.80800553846,no fuga
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,30,0.0,0.0,0.0,6765.142857142857,0.0,75279.4,47356,0.020968994616499776,17898.00368224132,no fuga
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,51,1.0,5.4638318050256105,12.501618715538742,136624.7142857143,0.2,10709.607843137255,956373,1.7509895823797579,235680.6587805586,fuga
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,41,3.0,7.581719640125308,12.88123913805417,56701.142857142855,0.75,10351.80487804878,396908,0.9351686049799257,148238.81990044372,fuga
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,42,1.0,4.31748811353631,11.384319067480007,50335.857142857145,0.25,163398.2380952381,352351,0.051342717165161485,99878.8407228621,no fuga
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,39,0.0,0.0,11.478282259026654,14416.714285714286,0.0,99658.64102564103,100917,0.025964786976671907,36265.47630421291,no fuga
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29,1.0,1.6094379124341003,0.0,31592.428571428572,0.5,50.172413793103445,221147,151.9910652920962,83583.94549165755,no fuga
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45,1.0,1.3862943611198906,0.0,34184.28571428572,0.3333333333333333,16153.866666666667,239290,0.32918159257363905,90404.31987229057,no fuga
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,2.0,5.68697535633982,11.96349140032349,53134.57142857143,0.4,2671.2,371942,3.4810384845762203,90334.38461231535,fuga
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,42,2.0,8.349957272040324,11.203774577902795,249742.42857142858,0.4,27067.071428571428,1748197,1.5377998393760826,625896.7696308119,fuga
